,Unnamed: 0.1,Unnamed: 0,Survived,Pclass,Sex,Age,SibSp,Parch
0,0,0,died,3,male,22.0,1,0
1,1,1,survived,1,female,38.0,1,0
2,2,2,survived,3,female,26.0,0,0
3,3,3,survived,1,female,35.0,1,0
4,4,4,died,3,male,35.0,0,0
5,5,5,died,3,male,29.69911764705882,0,0
6,6,6,died,1,male,54.0,0,0
7,7,7,died,3,male,2.0,3,1
8,8,8,survived,3,female,27.0,0,2
9,9,9,survived,2,female,14.0,1,0
10,10,10,survived,3,female,4.0,1,1
11,11,11,survived,1,female,58.0,0,0
12,12,12,died,3,male,20.0,0,0
13,13,13,died,3,male,39.0,1,5
14,14,14,died,3,female,14.0,0,0
15,15,15,survived,2,female,55.0,0,0
16,16,16,died,3,male,2.0,4,1
17,17,17,survived,2,male,29.69911764705882,0,0
18,18,18,died,3,female,31.0,1,0
19,19,19,survived,3,female,29.69911764705882,0,0
20,20,20,died,2,male,35.0,0,0
21,21,21,survived,2,male,34.0,0,0
22,22,22,survived,3,female,15.0,0,0
23,23,23,survived,1,male,28.0,0,0
24,24,24,died,3,female,8.0,3,1
25,25,25,survived,3,female,38.0,1,5
26,26,26,died,3,male,29.69911764705882,0,0
27,27,27,died,1,male,19.0,3,2
28,28,28,survived,3,female,29.69911764705882,0,0
29,29,29,died,3,male,29.69911764705882,0,0
30,30,30,died,1,male,40.0,0,0
31,31,31,survived,1,female,29.69911764705882,1,0
32,32,32,survived,3,female,29.69911764705882,0,0
33,33,33,died,2,male,66.0,0,0
34,34,34,died,1,male,28.0,1,0
35,35,35,died,1,male,42.0,1,0
36,36,36,survived,3,male,29.69911764705882,0,0
37,37,37,died,3,male,21.0,0,0
38,38,38,died,3,female,18.0,2,0
39,39,39,survived,3,female,14.0,1,0
40,40,40,died,3,female,40.0,1,0
41,41,41,died,2,female,27.0,1,0
42,42,42,died,3,male,29.69911764705882,0,0
43,43,43,survived,2,female,3.0,1,2
44,44,44,survived,3,female,19.0,0,0
45,45,45,died,3,male,29.69911764705882,0,0
46,46,46,died,3,male,29.69911764705882,1,0
47,47,47,survived,3,female,29.69911764705882,0,0
48,48,48,died,3,male,29.69911764705882,2,0
49,49,49,died,3,female,18.0,1,0
50,50,50,died,3,male,7.0,4,1
51,51,51,died,3,male,21.0,0,0
52,52,52,survived,1,female,49.0,1,0
53,53,53,survived,2,female,29.0,1,0
54,54,54,died,1,male,65.0,0,1
55,55,55,survived,1,male,29.69911764705882,0,0
56,56,56,survived,2,female,21.0,0,0
57,57,57,died,3,male,28.5,0,0
58,58,58,survived,2,female,5.0,1,2
59,59,59,died,3,male,11.0,5,2
60,60,60,died,3,male,22.0,0,0
61,61,61,survived,1,female,38.0,0,0
62,62,62,died,1,male,45.0,1,0
63,63,63,died,3,male,4.0,3,2
64,64,64,died,1,male,29.69911764705882,0,0
65,65,65,survived,3,male,29.69911764705882,1,1
66,66,66,survived,2,female,29.0,0,0
67,67,67,died,3,male,19.0,0,0
68,68,68,survived,3,female,17.0,4,2
69,69,69,died,3,male,26.0,2,0
70,70,70,died,2,male,32.0,0,0
71,71,71,died,3,female,16.0,5,2
72,72,72,died,2,male,21.0,0,0
73,73,73,died,3,male,26.0,1,0
74,74,74,survived,3,male,32.0,0,0
75,75,75,died,3,male,25.0,0,0
76,76,76,died,3,male,29.69911764705882,0,0
77,77,77,died,3,male,29.69911764705882,0,0
78,78,78,survived,2,male,0.83,0,2
79,79,79,survived,3,female,30.0,0,0
80,80,80,died,3,male,22.0,0,0
81,81,81,survived,3,male,29.0,0,0
82,82,82,survived,3,female,29.69911764705882,0,0
83,83,83,died,1,male,28.0,0,0
84,84,84,survived,2,female,17.0,0,0
85,85,85,survived,3,female,33.0,3,0
86,86,86,died,3,male,16.0,1,3
87,87,87,died,3,male,29.69911764705882,0,0
88,88,88,survived,1,female,23.0,3,2
89,89,89,died,3,male,24.0,0,0
90,90,90,died,3,male,29.0,0,0
91,91,91,died,3,male,20.0,0,0
92,92,92,died,1,male,46.0,1,0
93,93,93,died,3,male,26.0,1,2
94,94,94,died,3,male,59.0,0,0
95,95,95,died,3,male,29.69911764705882,0,0
96,96,96,died,1,male,71.0,0,0
97,97,97,survived,1,male,23.0,0,1
98,98,98,survived,2,female,34.0,0,1
99,99,99,died,2,male,34.0,1,0
100,100,100,died,3,female,28.0,0,0
101,101,101,died,3,male,29.69911764705882,0,0
102,102,102,died,1,male,21.0,0,1
103,103,103,died,3,male,33.0,0,0
104,104,104,died,3,male,37.0,2,0
105,105,105,died,3,male,28.0,0,0
106,106,106,survived,3,female,21.0,0,0
107,107,107,survived,3,male,29.69911764705882,0,0
108,108,108,died,3,male,38.0,0,0
109,109,109,survived,3,female,29.69911764705882,1,0
110,110,110,died,1,male,47.0,0,0
111,111,111,died,3,female,14.5,1,0
112,112,112,died,3,male,22.0,0,0
113,113,113,died,3,female,20.0,1,0
114,114,114,died,3,female,17.0,0,0
115,115,115,died,3,male,21.0,0,0
116,116,116,died,3,male,70.5,0,0
117,117,117,died,2,male,29.0,1,0
118,118,118,died,1,male,24.0,0,1
119,119,119,died,3,female,2.0,4,2
120,120,120,died,2,male,21.0,2,0
121,121,121,died,3,male,29.69911764705882,0,0
122,122,122,died,2,male,32.5,1,0
123,123,123,survived,2,female,32.5,0,0
124,124,124,died,1,male,54.0,0,1
125,125,125,survived,3,male,12.0,1,0
126,126,126,died,3,male,29.69911764705882,0,0
127,127,127,survived,3,male,24.0,0,0
128,128,128,survived,3,female,29.69911764705882,1,1
129,129,129,died,3,male,45.0,0,0
130,130,130,died,3,male,33.0,0,0
131,131,131,died,3,male,20.0,0,0
132,132,132,died,3,female,47.0,1,0
133,133,133,survived,2,female,29.0,1,0
134,134,134,died,2,male,25.0,0,0
135,135,135,died,2,male,23.0,0,0
136,136,136,survived,1,female,19.0,0,2
137,137,137,died,1,male,37.0,1,0
138,138,138,died,3,male,16.0,0,0
139,139,139,died,1,male,24.0,0,0
140,140,140,died,3,female,29.69911764705882,0,2
141,141,141,survived,3,female,22.0,0,0
142,142,142,survived,3,female,24.0,1,0
143,143,143,died,3,male,19.0,0,0
144,144,144,died,2,male,18.0,0,0
145,145,145,died,2,male,19.0,1,1
146,146,146,survived,3,male,27.0,0,0
147,147,147,died,3,female,9.0,2,2
148,148,148,died,2,male,36.5,0,2
149,149,149,died,2,male,42.0,0,0
150,150,150,died,2,male,51.0,0,0
151,151,151,survived,1,female,22.0,1,0
152,152,152,died,3,male,55.5,0,0
153,153,153,died,3,male,40.5,0,2
154,154,154,died,3,male,29.69911764705882,0,0
155,155,155,died,1,male,51.0,0,1
156,156,156,survived,3,female,16.0,0,0
157,157,157,died,3,male,30.0,0,0
158,158,158,died,3,male,29.69911764705882,0,0
